Neighborhood,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),ratio_steam,ratio_electricity,ratio_gas,flag_datacenter,flag_laboratory,flag_office,flag_downtown,flag_greatduw,flag_lakeu,outlier
5,1,38000,26,41447.0,13906080.0,0.0,0.5833439761600682,0.416655880017949,False,False,False,False,False,False,True
5,3,26373,22,26373.0,964236.0,0.0,0.2929552516188983,0.7070447483811018,False,False,False,False,False,False,False
11,2,75868,11,50379.0,3605749.75,0.0,1.0000000693337079,0.0,False,False,True,False,False,False,False
10,2,21656,2,5656.0,1607972.25,0.0,0.45164834156808364,0.5483515029565964,False,False,False,False,False,False,False
7,3,23040,20,23040.0,421430.0,0.0,1.0,0.0,False,False,False,False,False,False,False
7,2,36771,7,34856.0,5447076.5,0.0,0.9999999082076413,0.0,False,False,False,False,False,False,False
6,1,24024,13,14314.0,375773.5938,0.0,0.9999984197931686,0.0,False,False,False,False,True,False,False
6,1,42420,13,27420.0,965425.1875,0.0,0.49130684194004415,0.5086929638450105,False,False,False,False,True,False,False
6,1,36982,20,34382.0,374753.8125,0.0,0.7534386324622114,0.2465618678662542,False,False,False,False,True,False,False
6,2,23400,13,20002.0,439266.9063,0.0,1.000000213309946,0.0,False,False,False,False,True,False,False
7,2,30720,7,28120.0,1683064.25,0.0,0.2864103375732685,0.7135895138881359,False,False,False,False,False,False,False
6,1,23232,13,23232.0,127374.0,0.0,1.0,0.0,False,False,False,False,True,False,False
6,1,35046,13,32546.0,1063269.125,0.0,0.7912991924786681,0.2087006899593741,False,False,False,False,True,False,False
6,1,25577,30,13349.0,895784.6875,0.0,0.8078581941600782,0.19214103835638516,False,False,False,False,True,False,False
6,1,43380,13,42844.0,405062.0,0.0,1.0,0.0,False,False,False,False,True,False,False
4,3,20410,11,20410.0,2720238.25,0.0,0.5308946743911126,0.4691052337051727,False,False,True,False,False,True,False
9,3,18396,11,18396.0,624125.625,0.0,0.9999989985990401,0.0,False,False,True,False,False,False,False
9,1,45174,8,45174.0,1980825.25,0.0,0.3972945114668747,0.6027053623231025,False,False,False,False,False,False,False
9,1,24955,22,24955.0,689803.0,0.0,0.46390926104989394,0.5360907389501061,False,False,False,False,False,False,False
3,2,76475,22,45442.0,1765813.625,0.0,0.32463278790251715,0.6753674244641759,False,False,False,False,False,False,False
3,2,32961,8,32961.0,1573155.0,0.0,0.28392561444994296,0.7160743855500571,False,False,False,False,False,False,False
9,1,12806,3,12806.0,1082920.125,0.0,0.6173400831386341,0.3826598014327234,False,False,False,False,False,False,False
3,1,44755,26,46978.0,11521140.0,0.0,0.5141513773810578,0.48584853582197596,False,False,False,False,False,False,False
10,2,22320,18,22320.0,209644.9063,0.0,0.654850157931073,0.34515028901515454,False,False,False,False,False,False,False
10,3,24000,11,12000.0,932083.5,0.0,0.9398342530470715,0.0601652105203021,False,False,True,False,False,False,False
10,3,23422,11,23422.0,2701872.0,0.0,0.12372606844439707,0.876273931555603,False,False,True,False,False,False,False
10,2,23040,13,23040.0,79711.79688,0.0,0.9138546971869492,0.08614785099296836,False,False,False,False,False,False,False
10,2,61880,13,61880.0,595936.5,0.0,1.0000008390155664,0.0,False,False,False,False,False,False,False
10,2,27938,11,13917.0,1027394.313,0.0,0.9969414732393989,0.0030582221063939256,False,False,True,False,False,False,False
5,2,21600,27,32580.0,1623657.0,0.0,1.0,0.0,False,False,False,False,False,False,False
5,3,27908,7,21886.0,2028125.625,0.0,0.47552577025399995,0.524474414645789,False,False,False,False,False,False,False
1,3,54969,16,54969.0,3724098.25,0.0,0.9222914567304985,0.07770847613915664,False,False,False,True,False,False,False
11,2,36825,8,44340.0,1755072.75,0.0,0.5195015420300954,0.4804986004141424,False,False,False,False,False,False,False
10,3,25834,11,31822.0,2076289.625,0.0,0.5872268422089717,0.4127728567732934,False,False,True,False,False,False,False
10,1,37700,22,52225.0,3481727.5,0.0,0.21593504948333836,0.784065094123535,False,False,False,False,False,False,False
10,2,27273,8,27273.0,1258619.125,0.0,0.3468364585672413,0.6531634421175667,False,False,False,False,False,False,False
9,3,25111,11,14256.0,954352.6875,0.0,0.5839340186276785,0.4160663088194007,False,False,True,False,False,False,False
7,2,31805,22,31805.0,1641667.0,0.0,0.24814959428434633,0.7518504057156536,False,False,False,False,False,False,False
7,1,20811,8,20811.0,1267348.5,0.0,0.39909780143346524,0.6009025930910085,False,False,False,False,False,False,False
6,2,22058,13,12644.0,1987334.75,0.0,0.42656427157025256,0.5734353510398789,False,False,False,False,True,False,False
6,1,22890,30,43452.0,10005787.0,0.0,0.8916854816117913,0.10831441844604528,False,False,False,False,True,False,False
6,5,36000,7,36000.0,1111293.75,0.0,0.3116871664220194,0.6883130585410023,False,False,False,False,True,False,False
6,1,28320,20,28320.0,4236396.5,0.0,0.8034243253670897,0.1965755566080748,False,False,False,False,True,False,False
5,1,29079,22,29079.0,861643.6875,0.0,0.593189513733889,0.40681084894502867,False,False,False,False,False,False,False
10,3,19232,11,19232.0,726917.5,0.0,0.9999993121640351,0.0,False,False,True,False,False,False,False
8,2,20535,11,13600.0,1835804.0,0.0,0.6941154938108861,0.3058845061891139,False,False,True,False,False,False,False
7,2,43025,25,29527.0,9393108.0,0.0,0.5604608187194271,0.4395390748195379,False,True,False,False,False,False,False
6,1,30800,13,30800.0,485971.0,0.0,1.0,0.0,False,False,False,False,True,False,False
6,1,37400,13,27271.0,924192.6875,0.0,0.9681314428275002,0.031868895305450035,False,False,False,False,True,False,False
